COMPANY_ID,COMPANY_NAME,SALES_2024
C00001,Aeiouaeiouchpxlqjndzvrtksywmgfbaeiouchpxlqjndzvrtksywmgfb,527645
C00002,Chpxlqjndzvrtksywmgfbchpxlqjndzvrtksywmgfbaeiouchpxlqjndzvrtksywmgfbaeiouaeiou,746532
C00003,Aeiouaeiouchpxlqjndzvrtksywmgfbchpxlqjndzvrtksywmgfbaeiouchpxlqjndzvrtksywmgfbchpxlqjndzvrtksywmgfb,1968741
C00004,Aeiouaeiouaeiouaeiouchpxlqjndzvrtksywmgfbchpxlqjndzvrtksywmgfbchpxlqjndzvrtksywmgfbchpxlqjndzvrtksywmgfb,1003230
C00005,Chpxlqjndzvrtksywmgfbchpxlqjndzvrtksywmgfbchpxlqjndzvrtksywmgfbchpxlqjndzvrtksywmgfbaeiouchpxlqjndzvrtksywmgfbaeiouchpxlqjndzvrtksywmgfb,799121
C00006,Aeiouchpxlqjndzvrtksywmgfbchpxlqjndzvrtksywmgfbaeiouchpxlqjndzvrtksywmgfb,629184
C00007,Chpxlqjndzvrtksywmgfbchpxlqjndzvrtksywmgfbaeiouaeiouaeiouaeiouchpxlqjndzvrtksywmgfbchpxlqjndzvrtksywmgfbaeiou,194378
C00008,Aeiouchpxlqjndzvrtksywmgfbchpxlqjndzvrtksywmgfbchpxlqjndzvrtksywmgfbchpxlqjndzvrtksywmgfbchpxlqjndzvrtksywmgfbchpxlqjndzvrtksywmgfbchpxlqjndzvrtksywmgfbchpxlqjndzvrtksywmgfbchpxlqjndzvrtksywmgfb,722158
C00009,Chpxlqjndzvrtksywmgfbchpxlqjndzvrtksywmgfbchpxlqjndzvrtksywmgfbaeiouchpxlqjndzvrtksywmgfbchpxlqjndzvrtksywmgfbchpxlqjndzvrtksywmgfbchpxlqjndzvrtksywmgfbchpxlqjndzvrtksywmgfbchpxlqjndzvrtksywmgfb,142544
C00010,Chpxlqjndzvrtksywmgfbaeiouchpxlqjndzvrtksywmgfbchpxlqjndzvrtksywmgfbchpxlqjndzvrtksywmgfbchpxlqjndzvrtksywmgfbchpxlqjndzvrtksywmgfbchpxlqjndzvrtksywmgfbchpxlqjndzvrtksywmgfbaeiou,565556
C00011,Aeiouchpxlqjndzvrtksywmgfbchpxlqjndzvrtksywmgfbchpxlqjndzvrtksywmgfbaeiouaeiouaeiou,1553241
C00012,Chpxlqjndzvrtksywmgfbaeiouchpxlqjndzvrtksywmgfbaeiouchpxlqjndzvrtksywmgfbaeiouchpxlqjndzvrtksywmgfb,96995
C00013,Aeiouaeiouaeiouchpxlqjndzvrtksywmgfbchpxlqjndzvrtksywmgfbaeiouchpxlqjndzvrtksywmgfbaeiouaeiouchpxlqjndzvrtksywmgfb,1888253
C00014,Aeiouaeiouchpxlqjndzvrtksywmgfbchpxlqjndzvrtksywmgfbaeiouaeiouchpxlqjndzvrtksywmgfbchpxlqjndzvrtksywmgfbaeiou,683405
C00015,Chpxlqjndzvrtksywmgfbchpxlqjndzvrtksywmgfbaeiouchpxlqjndzvrtksywmgfbaeiou,1983289
C00016,Aeiouchpxlqjndzvrtksywmgfbchpxlqjndzvrtksywmgfbchpxlqjndzvrtksywmgfbaeiouaeiouchpxlqjndzvrtksywmgfbaeiouaeiouaeiou,1559561
C00017,Chpxlqjndzvrtksywmgfbaeiouchpxlqjndzvrtksywmgfbaeiouchpxlqjndzvrtksywmgfbchpxlqjndzvrtksywmgfb,868309
C00018,Aeiouaeiouchpxlqjndzvrtksywmgfbaeiouaeiou,411680
C00019,Chpxlqjndzvrtksywmgfbaeiouaeiouaeiouchpxlqjndzvrtksywmgfbaeiouaeiouchpxlqjndzvrtksywmgfbchpxlqjndzvrtksywmgfb,697706
C00020,Chpxlqjndzvrtksywmgfbchpxlqjndzvrtksywmgfbaeiouchpxlqjndzvrtksywmgfbaeiouaeiouaeiou,675181
C00021,Aeiouaeiouchpxlqjndzvrtksywmgfbaeiouaeiouchpxlqjndzvrtksywmgfbaeiouaeiouchpxlqjndzvrtksywmgfb,75111
C00022,Chpxlqjndzvrtksywmgfbaeiouchpxlqjndzvrtksywmgfbaeiouaeiouaeiouchpxlqjndzvrtksywmgfbaeiouchpxlqjndzvrtksywmgfbchpxlqjndzvrtksywmgfb,202155
C00023,Aeiouchpxlqjndzvrtksywmgfbaeiouaeiouchpxlqjndzvrtksywmgfbaeiouchpxlqjndzvrtksywmgfbchpxlqjndzvrtksywmgfbaeiou,1885437
C00024,Aeiouchpxlqjndzvrtksywmgfbaeiouchpxlqjndzvrtksywmgfbchpxlqjndzvrtksywmgfbaeiouchpxlqjndzvrtksywmgfbchpxlqjndzvrtksywmgfbaeiouaeiou,965834
C00025,Aeiouaeiouaeiouaeiouaeiouaeiouchpxlqjndzvrtksywmgfbaeiouchpxlqjndzvrtksywmgfbchpxlqjndzvrtksywmgfb,633288
C00026,Chpxlqjndzvrtksywmgfbchpxlqjndzvrtksywmgfbaeiouchpxlqjndzvrtksywmgfbchpxlqjndzvrtksywmgfbchpxlqjndzvrtksywmgfbchpxlqjndzvrtksywmgfb,1099701
C00027,Chpxlqjndzvrtksywmgfbchpxlqjndzvrtksywmgfbaeiouchpxlqjndzvrtksywmgfbchpxlqjndzvrtksywmgfbaeiouaeiou,294798
